Processed At,Invoice Date,Invoice Month,Invoice Number,Document Type,Seller Name,Seller Tax ID,Expense Category,Item #,Line Type,Description,Quantity,Unit Price,Amount,Subtotal,VAT 7%,Grand Total,Image URL,Confidence,Token Used,UID,User
2025-01-12 09:24:10,2025-01-12,202501,INV-2501-0011,Receipt,เน็ตฟลิกซ์,0105557078901,Other,1,product,ค่าประกัน,1,462,462,462,32.34,494.34,https://drive.google.com/file/d/sample11,0.96,528,U1234567890,Bobby
2025-01-04 09:09:06,2025-01-04,202501,INV-2501-0012,Receipt,โลตัส,0105535021234,Office,1,product,เมาส์,5,224,1120,1120,78.4,1198.4,https://drive.google.com/file/d/sample12,0.92,510,U9876543210,Alice
2025-01-16 16:45:56,2025-01-16,202501,INV-2501-0013,Receipt,DTAC,0105536034567,Utilities,1,product,ค่าอินเทอร์เน็ต,3,22,66,66,4.62,70.62,https://drive.google.com/file/d/sample13,0.95,992,U5555555555,Charlie
2025-01-29 10:59:57,2025-01-29,202501,INV-2501-0014,Receipt,การไฟฟ้านครหลวง,0994000165456,Utilities,1,product,ค่าอินเทอร์เน็ต,1,499,499,499,34.93,533.93,https://drive.google.com/file/d/sample14,0.91,874,U5555555555,Charlie
2025-01-08 17:03:24,2025-01-08,202501,INV-2501-0015,Receipt,ปั๊ม ปตท.,0105530020022,Travel,1,product,ค่าแท็กซี่,3,166,498,498,34.86,532.86,https://drive.google.com/file/d/sample15,0.95,278,U1234567890,Bobby
2025-01-13 15:39:11,2025-01-13,202501,INV-2501-0016,Receipt,7-Eleven สาขาสีลม,0105556170046,Food,1,product,เบอร์เกอร์,4,382,1528,1528,106.96,1634.96,https://drive.google.com/file/d/sample16,0.87,227,U1234567890,Bobby
2025-01-29 16:01:43,2025-01-29,202501,INV-2501-0017,Tax Invoice,เชลล์,0105533012345,Travel,1,product,ค่าแท็กซี่,3,219,657,657,45.99,702.99,https://drive.google.com/file/d/sample17,0.91,910,U9876543210,Alice
2025-01-28 11:18:51,2025-01-28,202501,INV-2501-0018,Receipt,สตาร์บัคส์,0105542098765,Food,1,product,พิซซ่า,2,263,526,526,36.82,562.82,https://drive.google.com/file/d/sample18,0.90,271,U5555555555,Charlie
2025-01-19 12:21:57,2025-01-19,202501,INV-2501-0019,Receipt,ปั๊ม ปตท.,0105530020022,Travel,1,product,น้ำมันเบนซิน,2,175,350,350,24.5,374.5,https://drive.google.com/file/d/sample19,0.98,672,U5555555555,Charlie
2025-01-15 14:43:41,2025-01-15,202501,INV-2501-0020,Tax Invoice,DTAC,0105536034567,Utilities,1,product,ค่าอินเทอร์เน็ต,5,147,735,735,51.45,786.45,https://drive.google.com/file/d/sample20,0.97,554,U9876543210,Alice
2025-01-01 08:44:35,2025-01-01,202501,INV-2501-0021,Receipt,เชลล์,0105533012345,Travel,1,product,ค่าแท็กซี่,4,490,1960,1960,137.2,2097.2,https://drive.google.com/file/d/sample21,0.95,837,U1234567890,Bobby
2025-01-16 10:31:43,2025-01-16,202501,INV-2501-0022,Receipt,DTAC,0105536034567,Utilities,1,product,ค่าโทรศัพท์,5,70,350,350,24.5,374.5,https://drive.google.com/file/d/sample22,0.85,284,U1234567890,Bobby
2025-01-31 12:24:27,2025-01-31,202501,INV-2501-0023,Receipt,7-Eleven สาขาสีลม,0105556170046,Food,1,product,สเต็ก,2,323,646,646,45.22,691.22,https://drive.google.com/file/d/sample23,0.96,285,U9876543210,Alice
2025-01-25 18:18:30,2025-01-25,202501,INV-2501-0024,Tax Invoice,เฟสบุ๊ค,0105554023456,Marketing,1,product,โปสเตอร์,1,315,315,315,22.05,337.05,https://drive.google.com/file/d/sample24,0.95,325,U5555555555,Charlie
2025-01-12 13:20:55,2025-01-12,202501,INV-2501-0025,Receipt,สตาร์บัคส์,0105542098765,Food,1,product,ข้าวกระเพราไก่,2,506,1012,1012,70.84,1082.84,https://drive.google.com/file/d/sample25,0.94,211,U1234567890,Bobby
2025-01-10 16:15:17,2025-01-10,202501,INV-2501-0026,Tax Invoice,7-Eleven สาขาสีลม,0105556170046,Food,1,product,กาแฟสด,3,203,609,609,42.63,651.63,https://drive.google.com/file/d/sample26,0.90,901,U1234567890,Bobby
2025-01-30 08:06:00,2025-01-30,202501,INV-2501-0027,Tax Invoice,7-Eleven สาขาสีลม,0105556170046,Food,1,product,ซูชิ,5,286,1430,1430,100.1,1530.1,https://drive.google.com/file/d/sample27,0.89,212,U9876543210,Alice
2025-01-13 19:21:54,2025-01-13,202501,INV-2501-0028,Receipt,กูเกิ้ล,0105552012345,Marketing,1,product,Google Ads,4,467,1868,1868,130.76,1998.76,https://drive.google.com/file/d/sample28,0.97,714,U9876543210,Alice
2025-01-26 10:30:56,2025-01-26,202501,INV-2501-0029,Tax Invoice,สตาร์บัคส์,0105542098765,Food,1,product,ข้าวหน้าเนื้อ,1,46,46,46,3.22,49.22,https://drive.google.com/file/d/sample29,0.98,347,U1234567890,Bobby
2025-01-21 12:46:23,2025-01-21,202501,INV-2501-0030,Receipt,ไมโครซอฟท์,0105548012345,Office,1,product,คีย์บอร์ด,5,21,105,105,7.35,112.35,https://drive.google.com/file/d/sample30,0.86,211,U5555555555,Charlie
2025-01-01 09:28:07,2025-01-01,202501,INV-2501-0031,Tax Invoice,สตาร์บัคส์,0105542098765,Food,1,product,ข้าวหน้าเนื้อ,3,185,555,555,38.85,593.85,https://drive.google.com/file/d/sample31,0.91,900,U9876543210,Alice
2025-01-27 18:54:34,2025-01-27,202501,INV-2501-0032,Receipt,โบลท์,0105561067890,Travel,1,product,น้ำมันเบนซิน,1,149,149,149,10.43,159.43,https://drive.google.com/file/d/sample32,0.88,219,U9876543210,Alice
2025-01-27 10:36:20,2025-01-27,202501,INV-2501-0033,Tax Invoice,ลาซาด้า,0105556089012,Office,1,product,กระดาษ A4,3,242,726,726,50.82,776.82,https://drive.google.com/file/d/sample33,0.89,653,U5555555555,Charlie
2025-01-26 13:02:23,2025-01-26,202501,INV-2501-0034,Tax Invoice,MK สุกี้,0105532045678,Food,1,product,ไก่ทอด,2,263,526,526,36.82,562.82,https://drive.google.com/file/d/sample34,0.96,849,U5555555555,Charlie
2025-01-28 11:35:19,2025-01-28,202501,INV-2501-0035,Tax Invoice,เชลล์,0105533012345,Travel,1,product,ค่าแท็กซี่,4,365,1460,1460,102.2,1562.2,https://drive.google.com/file/d/sample35,0.94,807,U5555555555,Charlie
2025-01-21 15:19:02,2025-01-21,202501,INV-2501-0036,Receipt,บิ๊กซี,0105538054321,Food,1,product,กาแฟสด,2,195,390,390,27.3,417.3,https://drive.google.com/file/d/sample36,0.98,332,U9876543210,Alice
2025-01-13 19:52:42,2025-01-13,202501,INV-2501-0037,Tax Invoice,บิ๊กซี,0105538054321,Food,1,product,เบอร์เกอร์,5,84,420,420,29.4,449.4,https://drive.google.com/file/d/sample37,0.93,800,U1234567890,Bobby
2025-01-26 09:04:55,2025-01-26,202501,INV-2501-0038,Tax Invoice,ทรูมูฟ,0105539026543,Utilities,1,product,ค่าไฟฟ้า,3,421,1263,1263,88.41,1351.41,https://drive.google.com/file/d/sample38,0.91,281,U1234567890,Bobby
2025-01-21 18:48:36,2025-01-21,202501,INV-2501-0039,Tax Invoice,AIS,0105534123789,Utilities,1,product,ค่าอินเทอร์เน็ต,2,334,668,668,46.76,714.76,https://drive.google.com/file/d/sample39,0.93,383,U1234567890,Bobby
2025-01-11 11:49:16,2025-01-11,202501,INV-2501-0040,Tax Invoice,บิ๊กซี,0105538054321,Food,1,product,เบอร์เกอร์,3,435,1305,1305,91.35,1396.35,https://drive.google.com/file/d/sample40,0.90,302,U1234567890,Bobby
2025-01-28 11:33:49,2025-01-28,202501,INV-2501-0041,Receipt,ปั๊ม ปตท.,0105530020022,Travel,1,product,ตั๋วเครื่องบิน,3,288,864,864,60.48,924.48,https://drive.google.com/file/d/sample41,0.94,343,U1234567890,Bobby
2025-01-16 16:44:11,2025-01-16,202501,INV-2501-0042,Tax Invoice,บิ๊กซี,0105538054321,Food,1,product,พิซซ่า,4,274,1096,1096,76.72,1172.72,https://drive.google.com/file/d/sample42,0.95,487,U9876543210,Alice
2025-01-06 13:59:25,2025-01-06,202501,INV-2501-0043,Tax Invoice,ไมโครซอฟท์,0105548012345,Office,1,product,เก้าอี้สำนักงาน,4,509,2036,2036,142.52,2178.52,https://drive.google.com/file/d/sample43,0.90,996,U1234567890,Bobby
2025-01-27 10:06:14,2025-01-27,202501,INV-2501-0044,Tax Invoice,บิ๊กซี,0105538054321,Food,1,product,ไก่ทอด,1,69,69,69,4.83,73.83,https://drive.google.com/file/d/sample44,0.95,915,U9876543210,Alice
2025-01-30 15:25:30,2025-01-30,202501,INV-2501-0045,Receipt,บางจาก,0105528012345,Travel,1,product,ค่าทางด่วน,5,383,1915,1915,134.05,2049.05,https://drive.google.com/file/d/sample45,0.89,747,U1234567890,Bobby
2025-01-17 16:17:03,2025-01-17,202501,INV-2501-0046,Receipt,อิเกีย,0105548023456,Office,1,product,กระดาษ A4,4,220,880,880,61.6,941.6,https://drive.google.com/file/d/sample46,0.92,488,U9876543210,Alice
2025-01-26 16:55:11,2025-01-26,202501,INV-2501-0047,Receipt,การไฟฟ้านครหลวง,0994000165456,Utilities,1,product,ค่าไฟฟ้า,1,248,248,248,17.36,265.36,https://drive.google.com/file/d/sample47,0.99,861,U5555555555,Charlie
2025-01-30 12:18:46,2025-01-30,202501,INV-2501-0048,Receipt,ปั๊ม ปตท.,0105530020022,Travel,1,product,น้ำมันดีเซล,3,510,1530,1530,107.1,1637.1,https://drive.google.com/file/d/sample48,0.90,455,U9876543210,Alice
2025-01-08 19:21:42,2025-01-08,202501,INV-2501-0049,Tax Invoice,ลาซาด้า,0105556089012,Office,1,product,เก้าอี้สำนักงาน,3,474,1422,1422,99.54,1521.54,https://drive.google.com/file/d/sample49,0.94,528,U5555555555,Charlie
2025-01-01 19:42:42,2025-01-01,202501,INV-2501-0050,Tax Invoice,กูเกิ้ล,0105552012345,Marketing,1,product,Google Ads,2,187,374,374,26.18,400.18,https://drive.google.com/file/d/sample50,0.98,241,U5555555555,Charlie
2025-01-22 09:45:13,2025-01-22,202501,INV-2501-0051,Receipt,DTAC,0105536034567,Utilities,1,product,ค่าน้ำ,2,514,1028,1028,71.96,1099.96,https://drive.google.com/file/d/sample51,0.86,211,U9876543210,Alice
2025-01-09 14:56:59,2025-01-09,202501,INV-2501-0052,Tax Invoice,แอร์เอเชีย,0105546115112,Travel,1,product,น้ำมันเบนซิน,1,486,486,486,34.02,520.02,https://drive.google.com/file/d/sample52,0.85,332,U1234567890,Bobby
2025-01-28 10:53:48,2025-01-28,202501,INV-2501-0053,Receipt,กูเกิ้ล,0105552012345,Marketing,1,product,Google Ads,1,105,105,105,7.35,112.35,https://drive.google.com/file/d/sample53,0.91,293,U1234567890,Bobby
2025-01-24 15:07:45,2025-01-24,202501,INV-2501-0054,Receipt,ช้อปปี้,0105559034567,Office,1,product,เมาส์,4,131,524,524,36.68,560.68,https://drive.google.com/file/d/sample54,0.96,504,U1234567890,Bobby
2025-01-29 16:52:46,2025-01-29,202501,INV-2501-0055,Tax Invoice,ทรูมูฟ,0105539026543,Utilities,1,product,ค่าอินเทอร์เน็ต,1,41,41,41,2.87,43.87,https://drive.google.com/file/d/sample55,0.90,691,U5555555555,Charlie
2025-01-19 09:48:49,2025-01-19,202501,INV-2501-0056,Receipt,แกร็บฟู้ด,0105558123456,Food,1,product,กาแฟสด,2,24,48,48,3.36,51.36,https://drive.google.com/file/d/sample56,0.96,821,U1234567890,Bobby
2025-01-19 16:12:52,2025-01-19,202501,INV-2501-0057,Receipt,AIS,0105534123789,Utilities,1,product,ค่าน้ำ,2,460,920,920,64.4,984.4,https://drive.google.com/file/d/sample57,0.92,211,U9876543210,Alice
2025-01-21 18:55:28,2025-01-21,202501,INV-2501-0058,Receipt,KFC,0105536078901,Food,1,product,ขนมปัง,5,232,1160,1160,81.2,1241.2,https://drive.google.com/file/d/sample58,0.98,954,U9876543210,Alice
2025-01-26 13:20:08,2025-01-26,202501,INV-2501-0059,Tax Invoice,7-Eleven สาขาสีลม,0105556170046,Food,1,product,สเต็ก,2,506,1012,1012,70.84,1082.84,https://drive.google.com/file/d/sample59,0.93,409,U5555555555,Charlie
2025-01-29 15:14:23,2025-01-29,202501,INV-2501-0060,Receipt,เน็ตฟลิกซ์,0105557078901,Other,1,product,ค่าประกัน,5,206,1030,1030,72.1,1102.1,https://drive.google.com/file/d/sample60,0.86,535,U1234567890,Bobby
2025-01-29 10:23:54,2025-01-29,202501,INV-2501-0061,Tax Invoice,สตาร์บัคส์,0105542098765,Food,1,product,กาแฟสด,1,443,443,443,31.01,474.01,https://drive.google.com/file/d/sample61,0.96,857,U1234567890,Bobby
2025-01-01 15:48:57,2025-01-01,202501,INV-2501-0062,Receipt,บางจาก,0105528012345,Travel,1,product,ตั๋วเครื่องบิน,4,132,528,528,36.96,564.96,https://drive.google.com/file/d/sample62,0.89,945,U9876543210,Alice
2025-01-30 12:25:23,2025-01-30,202501,INV-2501-0063,Receipt,AIS,0105534123789,Utilities,1,product,ค่าโทรศัพท์,3,292,876,876,61.32,937.32,https://drive.google.com/file/d/sample63,0.98,606,U1234567890,Bobby
2025-01-12 09:38:17,2025-01-12,202501,INV-2501-0064,Tax Invoice,KFC,0105536078901,Food,1,product,ข้าวกระเพราไก่,1,293,293,293,20.51,313.51,https://drive.google.com/file/d/sample64,0.88,507,U1234567890,Bobby
2025-01-27 15:36:18,2025-01-27,202501,INV-2501-0065,Tax Invoice,แอร์เอเชีย,0105546115112,Travel,1,product,น้ำมันเบนซิน,1,330,330,330,23.1,353.1,https://drive.google.com/file/d/sample65,0.90,613,U9876543210,Alice
2025-01-29 08:03:58,2025-01-29,202501,INV-2501-0066,Receipt,ไมโครซอฟท์,0105548012345,Office,1,product,เก้าอี้สำนักงาน,3,429,1287,1287,90.09,1377.09,https://drive.google.com/file/d/sample66,0.86,769,U5555555555,Charlie
2025-01-17 19:00:03,2025-01-17,202501,INV-2501-0067,Receipt,AIS,0105534123789,Utilities,1,product,ค่าโทรศัพท์,1,253,253,253,17.71,270.71,https://drive.google.com/file/d/sample67,0.92,760,U9876543210,Alice
2025-01-03 09:28:33,2025-01-03,202501,INV-2501-0068,Receipt,โฮมโปร,0105540098765,Office,1,product,เก้าอี้สำนักงาน,1,408,408,408,28.56,436.56,https://drive.google.com/file/d/sample68,0.90,784,U1234567890,Bobby
2025-01-24 13:55:24,2025-01-24,202501,INV-2501-0069,Tax Invoice,อิเกีย,0105548023456,Office,1,product,เมาส์,4,465,1860,1860,130.2,1990.2,https://drive.google.com/file/d/sample69,0.92,939,U1234567890,Bobby
2025-01-02 08:34:44,2025-01-02,202501,INV-2501-0070,Tax Invoice,แมคโดนัลด์,0105537045678,Food,1,product,สเต็ก,3,332,996,996,69.72,1065.72,https://drive.google.com/file/d/sample70,0.95,465,U5555555555,Charlie
2025-01-05 13:25:12,2025-01-05,202501,INV-2501-0071,Tax Invoice,เน็ตฟลิกซ์,0105557078901,Other,1,product,สมาชิกรายเดือน,3,433,1299,1299,90.93,1389.93,https://drive.google.com/file/d/sample71,0.94,347,U1234567890,Bobby
2025-01-20 18:30:11,2025-01-20,202501,INV-2501-0072,Receipt,โบลท์,0105561067890,Travel,1,product,ค่าแท็กซี่,1,48,48,48,3.36,51.36,https://drive.google.com/file/d/sample72,0.98,490,U1234567890,Bobby
2025-01-28 18:41:09,2025-01-28,202501,INV-2501-0073,Tax Invoice,บิ๊กซี,0105538054321,Food,1,product,ข้าวหน้าเนื้อ,3,409,1227,1227,85.89,1312.89,https://drive.google.com/file/d/sample73,0.90,493,U5555555555,Charlie
2025-01-22 08:13:23,2025-01-22,202501,INV-2501-0074,Receipt,เน็ตฟลิกซ์,0105557078901,Other,1,product,สมาชิกรายเดือน,2,182,364,364,25.48,389.48,https://drive.google.com/file/d/sample74,0.95,531,U5555555555,Charlie
2025-01-01 09:13:15,2025-01-01,202501,INV-2501-0075,Receipt,MK สุกี้,0105532045678,Food,1,product,ก๋วยเตี๋ยว,5,443,2215,2215,155.05,2370.05,https://drive.google.com/file/d/sample75,0.95,716,U9876543210,Alice
2025-01-22 11:35:19,2025-01-22,202501,INV-2501-0076,Tax Invoice,กูเกิ้ล,0105552012345,Marketing,1,product,โปสเตอร์,4,291,1164,1164,81.48,1245.48,https://drive.google.com/file/d/sample76,0.90,677,U1234567890,Bobby
2025-01-21 19:30:23,2025-01-21,202501,INV-2501-0077,Tax Invoice,ช้อปปี้,0105559034567,Office,1,product,หมึกพิมพ์,3,478,1434,1434,100.38,1534.38,https://drive.google.com/file/d/sample77,0.91,493,U5555555555,Charlie
2025-01-02 13:46:44,2025-01-02,202501,INV-2501-0078,Tax Invoice,เน็ตฟลิกซ์,0105557078901,Other,1,product,ค่าประกัน,3,385,1155,1155,80.85,1235.85,https://drive.google.com/file/d/sample78,0.89,692,U5555555555,Charlie
2025-01-17 12:27:42,2025-01-17,202501,INV-2501-0079,Receipt,บิ๊กซี,0105538054321,Food,1,product,ไก่ทอด,2,347,694,694,48.58,742.58,https://drive.google.com/file/d/sample79,0.89,275,U5555555555,Charlie
2025-01-31 11:45:30,2025-01-31,202501,INV-2501-0080,Tax Invoice,MK สุกี้,0105532045678,Food,1,product,ขนมปัง,4,484,1936,1936,135.52,2071.52,https://drive.google.com/file/d/sample80,0.98,661,U1234567890,Bobby
2025-01-21 19:23:33,2025-01-21,202501,INV-2501-0081,Receipt,การไฟฟ้านครหลวง,0994000165456,Utilities,1,product,ค่าโทรศัพท์,1,290,290,290,20.3,310.3,https://drive.google.com/file/d/sample81,0.99,752,U9876543210,Alice
2025-01-29 15:43:39,2025-01-29,202501,INV-2501-0082,Tax Invoice,การไฟฟ้านครหลวง,0994000165456,Utilities,1,product,ค่าอินเทอร์เน็ต,2,242,484,484,33.88,517.88,https://drive.google.com/file/d/sample82,0.90,746,U5555555555,Charlie
2025-01-30 09:18:24,2025-01-30,202501,INV-2501-0083,Tax Invoice,KFC,0105536078901,Food,1,product,ข้าวหน้าเนื้อ,2,264,528,528,36.96,564.96,https://drive.google.com/file/d/sample83,0.96,459,U9876543210,Alice
2025-01-10 11:43:29,2025-01-10,202501,INV-2501-0084,Tax Invoice,กูเกิ้ล,0105552012345,Marketing,1,product,LINE Ads,2,188,376,376,26.32,402.32,https://drive.google.com/file/d/sample84,0.92,377,U5555555555,Charlie
2025-01-17 14:28:52,2025-01-17,202501,INV-2501-0085,Tax Invoice,สตาร์บัคส์,0105542098765,Food,1,product,ข้าวหน้าเนื้อ,1,392,392,392,27.44,419.44,https://drive.google.com/file/d/sample85,0.93,604,U9876543210,Alice
2025-01-31 09:57:44,2025-01-31,202501,INV-2501-0086,Receipt,ปั๊ม ปตท.,0105530020022,Travel,1,product,ตั๋วเครื่องบิน,4,44,176,176,12.32,188.32,https://drive.google.com/file/d/sample86,0.93,623,U1234567890,Bobby
2025-01-09 11:41:53,2025-01-09,202501,INV-2501-0087,Tax Invoice,เชลล์,0105533012345,Travel,1,product,ค่าแท็กซี่,4,516,2064,2064,144.48,2208.48,https://drive.google.com/file/d/sample87,0.88,701,U1234567890,Bobby
2025-01-23 09:11:39,2025-01-23,202501,INV-2501-0088,Receipt,ลาซาด้า,0105556089012,Office,1,product,คีย์บอร์ด,1,144,144,144,10.08,154.08,https://drive.google.com/file/d/sample88,0.87,332,U1234567890,Bobby
2025-01-07 12:42:14,2025-01-07,202501,INV-2501-0089,Receipt,ช้อปปี้,0105559034567,Office,1,product,เก้าอี้สำนักงาน,3,505,1515,1515,106.05,1621.05,https://drive.google.com/file/d/sample89,0.90,578,U9876543210,Alice
2025-01-22 16:37:17,2025-01-22,202501,INV-2501-0090,Receipt,เฟสบุ๊ค,0105554023456,Marketing,1,product,Facebook Ads,3,128,384,384,26.88,410.88,https://drive.google.com/file/d/sample90,0.91,410,U5555555555,Charlie
2025-01-21 19:44:23,2025-01-21,202501,INV-2501-0091,Receipt,แกร็บฟู้ด,0105558123456,Food,1,product,กาแฟสด,3,338,1014,1014,70.98,1084.98,https://drive.google.com/file/d/sample91,0.87,264,U5555555555,Charlie
2025-01-17 15:12:54,2025-01-17,202501,INV-2501-0092,Receipt,DTAC,0105536034567,Utilities,1,product,ค่าโทรศัพท์,5,395,1975,1975,138.25,2113.25,https://drive.google.com/file/d/sample92,0.87,804,U5555555555,Charlie
2025-01-20 15:20:40,2025-01-20,202501,INV-2501-0093,Receipt,โบลท์,0105561067890,Travel,1,product,น้ำมันเบนซิน,3,180,540,540,37.8,577.8,https://drive.google.com/file/d/sample93,0.94,727,U9876543210,Alice
2025-01-09 14:44:21,2025-01-09,202501,INV-2501-0094,Tax Invoice,เฟสบุ๊ค,0105554023456,Marketing,1,product,Google Ads,3,338,1014,1014,70.98,1084.98,https://drive.google.com/file/d/sample94,0.98,837,U1234567890,Bobby
2025-01-23 16:49:58,2025-01-23,202501,INV-2501-0095,Tax Invoice,บิ๊กซี,0105538054321,Food,1,product,สเต็ก,4,457,1828,1828,127.96,1955.96,https://drive.google.com/file/d/sample95,0.88,659,U9876543210,Alice
2025-01-04 11:02:52,2025-01-04,202501,INV-2501-0096,Tax Invoice,บางจาก,0105528012345,Travel,1,product,ค่าแท็กซี่,2,437,874,874,61.18,935.18,https://drive.google.com/file/d/sample96,0.88,505,U5555555555,Charlie
2025-01-13 18:17:44,2025-01-13,202501,INV-2501-0097,Receipt,ปั๊ม ปตท.,0105530020022,Travel,1,product,น้ำมันดีเซล,1,225,225,225,15.75,240.75,https://drive.google.com/file/d/sample97,0.87,454,U1234567890,Bobby
2025-01-12 17:46:33,2025-01-12,202501,INV-2501-0098,Receipt,แมคโดนัลด์,0105537045678,Food,1,product,สเต็ก,3,164,492,492,34.44,526.44,https://drive.google.com/file/d/sample98,0.94,569,U5555555555,Charlie
2025-01-03 14:21:48,2025-01-03,202501,INV-2501-0099,Tax Invoice,แกร็บฟู้ด,0105558123456,Food,1,product,ซูชิ,3,217,651,651,45.57,696.57,https://drive.google.com/file/d/sample99,0.89,752,U9876543210,Alice
2025-01-27 11:37:57,2025-01-27,202501,INV-2501-0100,Receipt,โฮมโปร,0105540098765,Office,1,product,กระดาษ A4,5,63,315,315,22.05,337.05,https://drive.google.com/file/d/sample100,0.87,342,U5555555555,Charlie
2025-02-16 12:51:14,2025-02-16,202502,INV-2502-0101,Receipt,AIS,0105534123789,Utilities,1,product,ค่าน้ำ,3,174,522,522,36.54,558.54,https://drive.google.com/file/d/sample101,0.90,968,U5555555555,Charlie
2025-02-02 11:18:38,2025-02-02,202502,INV-2502-0102,Tax Invoice,สตาร์บัคส์,0105542098765,Food,1,product,พิซซ่า,2,241,482,482,33.74,515.74,https://drive.google.com/file/d/sample102,0.88,214,U1234567890,Bobby
2025-02-25 11:46:42,2025-02-25,202502,INV-2502-0103,Tax Invoice,AIS,0105534123789,Utilities,1,product,ค่าโทรศัพท์,5,253,1265,1265,88.55,1353.55,https://drive.google.com/file/d/sample103,0.87,618,U1234567890,Bobby
2025-02-08 16:05:44,2025-02-08,202502,INV-2502-0104,Tax Invoice,KFC,0105536078901,Food,1,product,ข้าวกระเพราไก่,5,503,2515,2515,176.05,2691.05,https://drive.google.com/file/d/sample104,0.87,914,U1234567890,Bobby
2025-02-17 16:27:49,2025-02-17,202502,INV-2502-0105,Receipt,AIS,0105534123789,Utilities,1,product,ค่าน้ำ,4,263,1052,1052,73.64,1125.64,https://drive.google.com/file/d/sample105,0.90,653,U5555555555,Charlie
2025-02-17 15:39:04,2025-02-17,202502,INV-2502-0106,Receipt,ช้อปปี้,0105559034567,Office,1,product,เก้าอี้สำนักงาน,1,395,395,395,27.65,422.65,https://drive.google.com/file/d/sample106,0.86,288,U1234567890,Bobby
2025-02-21 16:41:03,2025-02-21,202502,INV-2502-0107,Tax Invoice,แมคโดนัลด์,0105537045678,Food,1,product,เบอร์เกอร์,4,20,80,80,5.6,85.6,https://drive.google.com/file/d/sample107,0.93,908,U1234567890,Bobby
2025-02-25 17:15:11,2025-02-25,202502,INV-2502-0108,Tax Invoice,ปั๊ม ปตท.,0105530020022,Travel,1,product,ค่าทางด่วน,1,485,485,485,33.95,518.95,https://drive.google.com/file/d/sample108,0.87,358,U9876543210,Alice
2025-02-01 13:18:40,2025-02-01,202502,INV-2502-0109,Receipt,บิ๊กซี,0105538054321,Food,1,product,ซูชิ,3,125,375,375,26.25,401.25,https://drive.google.com/file/d/sample109,0.96,330,U1234567890,Bobby
2025-02-23 18:57:54,2025-02-23,202502,INV-2502-0110,Receipt,DTAC,0105536034567,Utilities,1,product,ค่าโทรศัพท์,1,79,79,79,5.53,84.53,https://drive.google.com/file/d/sample110,0.93,796,U5555555555,Charlie
2025-02-14 12:53:09,2025-02-14,202502,INV-2502-0111,Tax Invoice,7-Eleven สาขาสีลม,0105556170046,Food,1,product,ซูชิ,4,238,952,952,66.64,1018.64,https://drive.google.com/file/d/sample111,0.98,573,U5555555555,Charlie
